"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.您的年龄是? How old are you?","2.您喜欢出国旅游吗？Do you like travelling to other countries?","3.您有出国旅游的经历吗？Have you travelled to other countries?","4.哪些因素会导致您和外国人交流？What could make you communicate with foreigner?","5.您有单独跟外国人交流的经历吗？Have you communicate with foreigners by yourself?","6.这段经历给您带来什么样的感受？How do you feel about the experience?","7.在和外国人的交流过程中，您有使用翻译设备做为辅助吗？Did you use translation Apps to support your communication with foreigners?","8.您觉得使用翻译设备的时候，整个沟通是自然的吗？Do you feel nature while using translation Apps?","9.您觉得中国人与中国人之间的交流和中国人与外国人之间的交流有什么不同的地方吗？What difference do you sense between the communication with Chinese and the communication with foreigners?","10.您想要跟外国人交流吗？ Do you intend to communicate with foreigners?","11.在和外国人交流的时候，您会很自信吗？Did you feel confidence when communicating with foreigners?","12.您觉得出国旅游途中，请一个当地导游是否很重要呢？Do you feel necessary to hire a guide while travelling aboard?","13.请导游的优势是什么？What is the advantage of hiring a guide?","14.请导游的劣势是什么？What is the disadvantage of hiring a guide?",
"92","21-Sep-2020 15:39:22","21-Sep-2020 15:46:23","421","中国","江苏省","","","C.> 45","A.是 Yes","A.是 Yes","business，shopping，travel","A.是 Yes","","A.是 Yes","A.是 Yes","","A.是 Yes","A.是 Yes","A.是 Yes","尽兴省时省力","非族类",
"91","21-Sep-2020 13:20:40","21-Sep-2020 13:23:34","174","中国","江苏省","","","C.> 45","A.是 Yes","A.是 Yes","","B.不 No","","","","","B.不 No","A.是 Yes","A.是 Yes","","",
"90","21-Sep-2020 13:19:42","21-Sep-2020 13:20:07","25","中国","江苏省","南京市","","C.> 45","B.不 No","","","","","","","","","","","","",
"89","21-Sep-2020 13:13:10","21-Sep-2020 13:15:55","165","中国","江苏省","淮安市","","C.> 45","A.是 Yes","A.是 Yes","business，shopping...","A.是 Yes","","A.是 Yes","A.是 Yes","","A.是 Yes","A.是 Yes","A.是 Yes","","",
"88","21-Sep-2020 12:29:05","21-Sep-2020 12:30:24","79","中国","江苏省","","","C.> 45","A.是 Yes","A.是 Yes","语言","B.不 No","","","","","B.不 No","A.是 Yes","A.是 Yes","方便","多花冤枉钱",
"87","21-Sep-2020 12:01:00","21-Sep-2020 12:01:32","32","中国","江苏省","","","C.> 45","B.不 No","","","","","","","","","","","","",
"86","21-Sep-2020 11:54:38","21-Sep-2020 11:55:08","30","中国","北京市","北京市","","C.> 45","B.不 No","","","","","","","","","","","","",
"85","21-Sep-2020 11:48:32","21-Sep-2020 11:48:50","18","中国","广东省","佛山市","","C.> 45","B.不 No","","","","","","","","","","","","",
"84","21-Sep-2020 11:03:49","21-Sep-2020 11:04:02","13","中国","上海市","上海市","","C.> 45","B.不 No","","","","","","","","","","","","",
"83","21-Sep-2020 09:47:59","21-Sep-2020 09:52:29","270","澳大利亚","","","","A.18 - 30","A.是 Yes","A.是 Yes","For whatever reasons， I like communication.","A.是 Yes","It will always give me brand new experience.","B.不 No","B.不 No","This is a huge topic to begin with. The major difference I deem would be how we Chinese use stand-alone characters to represent different meanings while most other languages do not.","A.是 Yes","A.是 Yes","B.不 No","I personally don’t like tour guides， sorry.","Insecure， it’s wired to hire some one to guide my way. Whenever I go for a trip， it should be just me， or with my beloved ones.",
